"","MeanDecreaseGini"
"duration",221.78901741651
"aol",0
"auth",8.41793401656611
"bgp",0.798269914320627
"courier",0.86048565453087
"csnet_ns",0.00169895769310817
"ctf",0.0983439880750938
"daytime",0.329801690782259
"discard",0.863971494210618
"domain",1.15348224450898
"domain_u",286.404113362021
"echo",0.349471485397964
"eco_i",673.532677140546
"ecr_i",843.072924251922
"efs",0.00784101768838096
"exec",0.0102509625745428
"finger",23.7918196911848
"ftp",51.9975542850666
"ftp_data",290.34488838633
"gopher",1.64394930504805
"harvest",0
"hostnames",0.000271490749212532
"http",894.73365801554
"http_2784",0
"http_443",0.127760704386933
"http_8001",0
"imap4",2.29775790141447
"IRC",15.9234475109584
"iso_tsap",0.00291068507969696
"klogin",0.0251854839746713
"kshell",0.000486691114586684
"ldap",0.195544643847815
"link",0.136049483713059
"login",1.11256274722436
"mtp",0.0795991510276941
"name",0.265341811821769
"netbios_dgm",0.0205701531987803
"netbios_ns",0.00172953787456717
"netbios_ssn",0.0322824751096603
"netstat",0.100261482042784
"nnsp",0.0185580101826373
"nntp",0.820081342098358
"ntp_u",1.36544663930646
"other",58.9215001607049
"pm_dump",2.54696226876145
"pop_2",0.733880075989142
"pop_3",0.948045948014044
"printer",0.0622671280730423
"private",1018.60147264184
"red_i",0.30874645261151
"remote_job",0.024718221414907
"rje",0.0862919935699041
"shell",0.251155314995216
"smtp",43.6714408769759
"sql_net",0.00421766633119271
"ssh",1.19501308620796
"sunrpc",0.0906821079196762
"supdup",0.0191415176403514
"systat",0.0568437692987586
"telnet",31.6778302112286
"tftp_u",1.54304200199481
"tim_i",0.694725129560602
"time",4.55659272257216
"urh_i",0.231793825837083
"urp_i",39.0117407977792
"uucp",0.252165643515829
"uucp_path",0.0586749322241956
"vmnet",0.000129367312022815
"whois",0.204394574433678
"X11",4.89523538871168
"Z39_50",0.0115914159195773
"icmp",1553.26557469657
"tcp",544.82043261941
"udp",344.859955602857
"OTH",2.05224230919299
"REJ",140.241287197643
"RSTO",21.19172291233
"RSTOS0",2.44956382407492
"RSTR",131.568347480135
"S0",1022.95427628673
"S1",26.1381939329118
"S2",2.79792266745347
"S3",0.64841516066448
"SF",4168.45513351345
"SH",7.74250362370811
"src_bytes",9571.10863996203
"dst_bytes",7503.46279739731
"land",1.33289882935949
"wrong_fragment",182.394947883273
"urgent",1.21701181092321
"hot",594.317627537328
"num_failed_logins",11.5984875038576
"logged_in",2245.96680247761
"num_compromised",366.439771811225
"root_shell",5.6896141564847
"su_attempted",1.36928470481644
"num_root",15.4185196134906
"num_file_creations",8.60577639958292
"num_shells",3.10042688015098
"num_access_files",3.21866529823289
"num_outbound_cmds",0
"is_host_login",0.0080011458194173
"is_guest_login",50.6822939788456
"count",2096.15935888003
"srv_count",731.469415653623
"serror_rate",1123.06975947495
"srv_serror_rate",1266.79208012753
"rerror_rate",330.093351316317
"srv_rerror_rate",399.101164847154
"same_srv_rate",4538.33035009074
"diff_srv_rate",3008.63699761719
"srv_diff_host_rate",169.624155300718
"dst_host_count",965.255160988535
"dst_host_srv_count",2931.42759460773
"dst_host_same_srv_rate",2791.22180469698
"dst_host_diff_srv_rate",2037.06194894929
"dst_host_same_src_port_rate",1429.45138981637
"dst_host_srv_diff_host_rate",988.712519238439
"dst_host_serror_rate",1324.45647981021
"dst_host_srv_serror_rate",1349.16986822781
"dst_host_rerror_rate",775.334186759711
"dst_host_srv_rerror_rate",720.329856310441
